index geno pheno fit
 11860533 1 0.660193 1.03006 
 11860534 0 -0.53084 0.973267 
 11860535 0 0.505168 1.02645 
 11860536 1 0.990553 1.04606 
 11860537 0 -0.649752 0.969028 
 11860538 0 0.0499251 1.00293 
 11860539 0 -1.25257 0.936758 
 11860540 0 -0.101896 0.994835 
 11860541 1 0.222594 1.01104 
 11860542 0 -0.478793 0.973299 
 11860543 0 -0.24892 0.992683 
 11860544 1 0.0160381 1.00081 
 11860545 0 0.463423 1.01851 
 11860546 1 4.21901 1.19196 
 11860547 0 -0.0220175 0.999156 
 11860548 1 2.33157 1.09691 
 11860549 1 0.560256 1.02594 
 11860550 1 1.71803 1.06999 
 11860551 0 -0.401953 0.981548 
 11860552 0 0.718686 1.04634 
 11860553 0 -1.11689 0.964476 
 11860554 0 -0.840722 0.942409 
 11860555 0 -0.0361126 0.998792 
 11860556 0 -1.04176 0.951617 
 11860557 0 -0.191284 0.9922 
 11860558 0 -0.482982 0.969542 
 11860559 0 -1.65808 0.929026 
 11860560 1 -0.799632 0.956307 
 11860561 1 1.82166 1.10477 
 11860562 0 1.2951 1.05653 
 11860563 1 1.6342 1.05334 
 11860564 0 -0.143407 0.993806 
 11860565 0 -1.56206 0.911461 
 11860566 0 -0.730582 0.96838 
 11860567 0 0.933552 1.04321 
 11860568 1 3.49698 1.19306 
 11860569 0 -0.518373 0.978792 
 11860570 1 0.649169 1.01772 
 11860571 0 -1.62341 0.909848 
 11860572 1 1.05767 1.03262 
 11860573 1 1.13326 1.04964 
 11860574 1 1.94109 1.08884 
 11860575 1 0.493051 1.01768 
 11860576 1 1.08042 1.05833 
 11860577 0 -1.96138 0.933471 
 11860578 0 -0.180004 0.990945 
 11860579 1 1.29049 1.05708 
 11860580 0 0.227478 1.00783 
 11860581 0 1.86983 1.08314 
 11860582 0 -0.974506 0.934792 
 11860583 0 -0.329718 0.982706 
 11860584 1 1.68512 1.05576 
 11860585 0 0.76228 1.03269 
 11860586 0 -1.35701 0.927386 
 11860587 1 1.47226 1.05193 
 11860588 1 0.531 1.03224 
 11860589 1 3.24749 1.12089 
 11860590 0 -1.77564 0.892433 
 11860591 1 1.55043 1.07128 
 11860592 1 0.436345 1.02752 
 11860593 1 1.34442 1.07545 
 11860594 0 0.576833 1.01977 
 11860595 0 1.21168 1.06451 
 11860596 0 -0.457173 0.975641 
 11860597 1 1.47055 1.04616 
 11860598 0 1.56851 1.05624 
 11860599 1 3.0482 1.15929 
 11860600 1 1.32522 1.06589 
 11860601 1 -0.189515 0.989861 
 11860602 0 1.34141 1.07656 
 11860603 0 -0.43656 0.983941 
 11860604 1 1.30002 1.04574 
 11860605 1 1.43987 1.06926 
 11860606 1 1.44866 1.05895 
 11860607 0 -0.684774 0.962418 
 11860608 1 3.03195 1.14058 
 11860609 1 -0.250241 0.989082 
 11860610 0 0.315143 1.01319 
 11860611 0 -0.178475 0.990701 
 11860612 0 -1.26541 0.920932 
 11860613 1 1.44847 1.08156 
 11860614 0 0.623183 1.03741 
 11860615 0 -0.954186 0.947936 
 11860616 0 -0.230893 0.991868 
 11860617 0 -0.184218 0.989184 
 11860618 0 -0.424197 0.97882 
 11860619 1 0.825615 1.0358 
 11860620 1 1.68316 1.10537 
 11860621 1 2.47806 1.10885 
 11860622 1 -0.949237 0.954739 
 11860623 1 0.815955 1.05193 
 11860624 1 2.64047 1.17273 
 11860625 0 0.804843 1.04516 
 11860626 0 0.469686 1.02906 
 11860627 1 0.247112 1.01204 
 11860628 1 -0.518288 0.976265 
 11860629 1 0.780181 1.03142 
 11860630 1 2.73671 1.13903 
 11860631 1 0.251105 1.01217 
 11860632 1 0.997262 1.04345 
 11860633 0 0.134405 1.00655 
 11860634 0 0.052378 1.00273 
 11860635 1 0.647704 1.04029 
 11860636 1 0.804967 1.03783 
 11860637 0 -0.0928103 0.994852 
 11860638 1 1.0026 1.01841 
 11860639 0 0.841542 1.03392 
 11860640 0 0.971623 1.04343 
 11860641 1 2.00905 1.0785 
 11860642 0 -0.43138 0.982068 
 11860643 0 0.229765 1.00892 
 11860644 1 1.64811 1.10033 
 11860645 1 0.726628 1.03838 
 11860646 0 -0.35762 0.9805 
 11860647 1 0.507466 1.02793 
 11860648 1 1.69014 1.05965 
 11860649 0 -1.53193 0.933159 
 11860650 0 -0.00106258 0.999959 
 11860651 1 0.563513 1.03639 
 11860652 0 -0.571695 0.979838 
 11860653 1 -0.546817 0.979836 
 11860654 1 1.21143 1.04656 
 11860655 1 0.8667 1.05576 
 11860656 1 2.38608 1.12155 
 11860657 1 2.90935 1.12618 
 11860658 1 2.42985 1.1485 
 11860659 1 0.822777 1.02666 
 11860660 0 0.45163 1.02399 
 11860661 0 -2.18436 0.866377 
 11860662 1 1.46351 1.07819 
 11860663 1 0.391382 1.0211 
 11860664 0 -0.721325 0.965498 
 11860665 1 2.43697 1.09184 
 11860666 1 0.586632 1.0366 
 11860667 0 1.34546 1.07817 
 11860668 0 -0.662135 0.961978 
 11860669 1 2.46181 1.12957 
 11860670 1 1.46176 1.04943 
 11860671 1 -0.285956 0.985781 
 11860672 0 0.740408 1.03853 
 11860673 0 0.872356 1.03401 
 11860674 0 -0.956527 0.943414 
 11860675 0 -0.192988 0.993388 
 11860676 1 3.03739 1.21234 
 11860677 1 0.0810004 1.00497 
 11860678 1 0.46326 1.01599 
 11860679 1 1.82673 1.12596 
 11860680 0 -0.732456 0.964081 
 11860681 1 0.600899 1.03243 
 11860682 1 0.566527 1.033 
 11860683 0 0.460382 1.03043 
 11860684 0 0.319343 1.0117 
 11860685 1 1.25855 1.06295 
 11860686 1 1.18871 1.06123 
 11860687 0 0.136975 1.00683 
 11860688 0 -0.550233 0.97298 
 11860689 1 2.15551 1.13355 
 11860690 1 0.950138 1.05569 
 11860691 1 1.78312 1.05388 
 11860692 1 -1.27989 0.945274 
 11860693 0 0.471305 1.01488 
 11860694 1 -1.11109 0.933757 
 11860695 1 -0.708471 0.965111 
 11860696 0 -1.2008 0.932394 
 11860697 1 1.31852 1.06954 
 11860698 1 2.42912 1.13719 
 11860699 1 0.272128 1.01609 
 11860700 0 0.587173 1.0336 
 11860701 1 -0.042504 0.998179 
 11860702 0 0.147264 1.00647 
 11860703 1 0.813113 1.04783 
 11860704 1 0.561983 1.03531 
 11860705 0 -1.79421 0.91384 
 11860706 1 -0.618706 0.965861 
 11860707 0 0.523793 1.03067 
 11860708 0 2.04559 1.09739 
 11860709 1 0.154019 1.00585 
 11860710 1 0.510296 1.02939 
 11860711 0 0.519035 1.02851 
 11860712 0 -1.97232 0.912204 
 11860713 0 -0.0955336 0.995176 
 11860714 1 1.0405 1.05828 
 11860715 1 2.08166 1.08204 
 11860716 1 -1.10075 0.927736 
 11860717 0 1.3671 1.0608 
 11860718 0 0.828518 1.05248 
 11860719 0 0.280734 1.01544 
 11860720 0 0.756341 1.035 
 11860721 0 -0.547046 0.967271 
 11860722 0 -0.737948 0.974529 
 11860723 0 -0.421561 0.976734 
 11860724 1 1.13795 1.07369 
 11860725 0 -0.986142 0.940094 
 11860726 1 0.534546 1.02063 
 11860727 1 1.64333 1.08876 
 11860728 0 1.76364 1.04228 
 11860729 0 -2.34853 0.852808 
 11860730 0 0.827742 1.05543 
 11860731 0 -0.65505 0.974763 
 11860732 1 1.78646 1.09033 
 11860733 0 -0.702232 0.961169 
 11860734 0 0.629174 1.0274 
 11860735 0 -0.40936 0.983808 
 11860736 1 0.896708 1.03692 
 11860737 0 -2.06491 0.911074 
 11860738 0 -0.100681 0.995862 
 11860739 1 1.74601 1.07599 
 11860740 1 0.216032 1.00841 
 11860741 0 0.225908 1.00652 
 11860742 0 -0.708147 0.988324 
 11860743 1 2.37588 1.12846 
 11860744 0 0.975034 1.04296 
 11860745 0 0.800163 1.03743 
 11860746 0 0.710308 1.03161 
 11860747 1 0.231552 1.01276 
 11860748 1 -0.536616 0.977751 
 11860749 0 0.781738 1.0462 
 11860750 0 -0.262177 0.98909 
 11860751 1 1.06635 1.05284 
 11860752 1 0.431581 1.01945 
 11860753 1 0.877183 1.03907 
 11860754 1 1.61342 1.08517 
 11860755 1 2.11818 1.0913 
 11860756 1 -0.309553 0.983022 
 11860757 0 -2.02538 0.886801 
 11860758 0 -1.5045 0.915804 
