index parent1 parent2
12330590 12320800 12326606
12330591 12325823 12327820
12330592 12328108 12323754
12330593 12322589 12325763
12330594 12320520 12324792
12330595 12328844 12325674
12330596 12320834 12327886
12330597 12323436 12320286
12330598 12321553 12328052
12330599 12328914 12329739
12330600 12320191 12325222
12330601 12327255 12328612
12330602 12329084 12327246
12330603 12320120 12329870
12330604 12321909 12327554
12330605 12324554 12320057
12330606 12327539 12321775
12330607 12325821 12324824
12330608 12322013 12325195
12330609 12325256 12322328
12330610 12324517 12327087
12330611 12328533 12327909
12330612 12329539 12329348
12330613 12325449 12324867
12330614 12329141 12327212
12330615 12325451 12320259
12330616 12329929 12326153
12330617 12322825 12329413
12330618 12323695 12323759
12330619 12322894 12329982
12330620 12329424 12328754
12330621 12322905 12326219
12330622 12326047 12325327
12330623 12323379 12321798
12330624 12324211 12324853
12330625 12322645 12329076
12330626 12326062 12329635
12330627 12323217 12327184
12330628 12327506 12320433
12330629 12329284 12320353
12330630 12327762 12327184
12330631 12323797 12320888
12330632 12323130 12329660
12330633 12326576 12323420
12330634 12321551 12329030
12330635 12321683 12320283
12330636 12326235 12320188
12330637 12326454 12329498
12330638 12326831 12326575
12330639 12323676 12328617
12330640 12323278 12324307
12330641 12325928 12321246
12330642 12323881 12328881
12330643 12328037 12325975
12330644 12322080 12328694
12330645 12329999 12323791
12330646 12327641 12321156
12330647 12324957 12320648
12330648 12328422 12326149
12330649 12329967 12325444
12330650 12322961 12329666
12330651 12324798 12327098
12330652 12326214 12325651
12330653 12323770 12322641
12330654 12320725 12328181
12330655 12328315 12323851
12330656 12327839 12321688
12330657 12320017 12323269
12330658 12325787 12322294
12330659 12321801 12321698
12330660 12324777 12321785
12330661 12323021 12327981
12330662 12328301 12328160
12330663 12322485 12326776
12330664 12321980 12325751
12330665 12325322 12320775
12330666 12325791 12324979
12330667 12322353 12325331
12330668 12326390 12321779
12330669 12323933 12324614
12330670 12320105 12320837
12330671 12326802 12323637
12330672 12327314 12321192
12330673 12326313 12324836
12330674 12327966 12324292
12330675 12327322 12329112
12330676 12328036 12321031
12330677 12322930 12326530
12330678 12328317 12329942
12330679 12324029 12320188
12330680 12323031 12321690
12330681 12324281 12328984
12330682 12328537 12322568
12330683 12320809 12320192
12330684 12321078 12329470
12330685 12327869 12320129
12330686 12323664 12320971
12330687 12324585 12327979
12330688 12328624 12326988
12330689 12328508 12328418
12330690 12321115 12328341
12330691 12327539 12326166
12330692 12323119 12323720
12330693 12327573 12323964
12330694 12326942 12328787
12330695 12320465 12324793
12330696 12326964 12322170
12330697 12322002 12329672
12330698 12324618 12326463
12330699 12325734 12327135
12330700 12320073 12323058
12330701 12322201 12325309
12330702 12326486 12327207
12330703 12320695 12324718
12330704 12322946 12327404
12330705 12321535 12326026
12330706 12322537 12327229
12330707 12327408 12329575
12330708 12328005 12329386
12330709 12320566 12328120
12330710 12324705 12323947
12330711 12322551 12326929
12330712 12323911 12320687
12330713 12326693 12325616
12330714 12326308 12321516
12330715 12323369 12327189
12330716 12320723 12323290
12330717 12328154 12324550
12330718 12323496 12329438
12330719 12320570 12328957
12330720 12322579 12326052
12330721 12328560 12322470
12330722 12328957 12320282
12330723 12328840 12325633
12330724 12326172 12323211
12330725 12329921 12327989
12330726 12324166 12320999
12330727 12325703 12324231
12330728 12322356 12321762
12330729 12321844 12328887
12330730 12327245 12325314
12330731 12328889 12325370
12330732 12329024 12327017
12330733 12329308 12328047
12330734 12326363 12327312
12330735 12320924 12320741
12330736 12320295 12324227
12330737 12325361 12323258
12330738 12323833 12325361
12330739 12322005 12323027
12330740 12321712 12323711
12330741 12323802 12328723
12330742 12329051 12327944
12330743 12325571 12326836
12330744 12329290 12327691
12330745 12326979 12329640
12330746 12327842 12326409
12330747 12320150 12326800
12330748 12321911 12325245
12330749 12323195 12322342
12330750 12324650 12328783
12330751 12327560 12323139
12330752 12323186 12320255
12330753 12328637 12326219
12330754 12329075 12324004
12330755 12326114 12320658
12330756 12322464 12325163
12330757 12326842 12325166
12330758 12329900 12326647
12330759 12321044 12321726
12330760 12329358 12328395
12330761 12327321 12327826
12330762 12327588 12326600
12330763 12321387 12321135
12330764 12320082 12329778
12330765 12326475 12324867
12330766 12321979 12328934
12330767 12322869 12327586
12330768 12324263 12326434
12330769 12323481 12329275
12330770 12326709 12322539
12330771 12324608 12326719
12330772 12320874 12323259
12330773 12324325 12329686
12330774 12320403 12328631
12330775 12322897 12326621
12330776 12326240 12325429
12330777 12329063 12322409
12330778 12324533 12328363
12330779 12326061 12328470
12330780 12325273 12322492
12330781 12324568 12321657
12330782 12328847 12329924
12330783 12327134 12320945
12330784 12325651 12323893
12330785 12324155 12329627
12330786 12325450 12324642
12330787 12325496 12327042
12330788 12329581 12326680
12330789 12322009 12325494
12330790 12325917 12326426
12330791 12320003 12329447
12330792 12323627 12329469
12330793 12326537 12327122
12330794 12323571 12327830
12330795 12328112 12325145
12330796 12325592 12326368
12330797 12325397 12320869
12330798 12329027 12329418
12330799 12321738 12324911
12330800 12322704 12322124
12330801 12325108 12323140
12330802 12324115 12320673
12330803 12327522 12323791
12330804 12321272 12322753
12330805 12329510 12322125
12330806 12326261 12325022
12330807 12321134 12329807
12330808 12324667 12323536
12330809 12321778 12329640
12330810 12321919 12325621
12330811 12329136 12323517
12330812 12327048 12322794
12330813 12326806 12324993
12330814 12320324 12326235
12330815 12329580 12326056
12330816 12324216 12323643
12330817 12321313 12320453
12330818 12325429 12323528
12330819 12326738 12320122
12330820 12329981 12321493
12330821 12322943 12322052
12330822 12326237 12325648
12330823 12325885 12323879
12330824 12325167 12320793
12330825 12324287 12321216
12330826 12328918 12322197
12330827 12328170 12323712
12330828 12325275 12320866
12330829 12326026 12327543
12330830 12321725 12329159
12330831 12320975 12327817
12330832 12328613 12328769
12330833 12320114 12326142
12330834 12321474 12323205
12330835 12323821 12324715
12330836 12322056 12328041
12330837 12326121 12328333
12330838 12326016 12326130
12330839 12322175 12322272
12330840 12326199 12327549
12330841 12320360 12321647
12330842 12322391 12326564
12330843 12323382 12325809
12330844 12322561 12323814
12330845 12325559 12329015
12330846 12323646 12320640
12330847 12328226 12326264
12330848 12329970 12327663
12330849 12325597 12328850
12330850 12327251 12323568
12330851 12329840 12321112
12330852 12322066 12329455
12330853 12329537 12323799
12330854 12328853 12321131
12330855 12329811 12327715
12330856 12324918 12327374
12330857 12320402 12324430
12330858 12327144 12323701
12330859 12322477 12324398
12330860 12326220 12322022
12330861 12329541 12322358
12330862 12328386 12320928
12330863 12328019 12329782
12330864 12321427 12325611
12330865 12323854 12321149
12330866 12321539 12327386
12330867 12329647 12322233
12330868 12328578 12326980
12330869 12322427 12328102
12330870 12325674 12320489
12330871 12325552 12329994
12330872 12322477 12323586
12330873 12325223 12324630
12330874 12320061 12325249
12330875 12328998 12329002
12330876 12328688 12320433
12330877 12325854 12328011
12330878 12322986 12326337
12330879 12320352 12329853
12330880 12327492 12327059
12330881 12327913 12324178
12330882 12322318 12322932
12330883 12321757 12321555
12330884 12323579 12325854
12330885 12326971 12329495
12330886 12320633 12320897
12330887 12320739 12324930
12330888 12324387 12323671
12330889 12322368 12322776
12330890 12324463 12323223
12330891 12326214 12321895
12330892 12329180 12323037
12330893 12323477 12320794
12330894 12322113 12320621
12330895 12327421 12327734
12330896 12325817 12321685
12330897 12320913 12328375
12330898 12324806 12322558
12330899 12328936 12328276
12330900 12320061 12323032
12330901 12323135 12320912
12330902 12322699 12324660
12330903 12325862 12328184
12330904 12327782 12329095
12330905 12320130 12323657
12330906 12323321 12326682
12330907 12323282 12328334
12330908 12323272 12325152
12330909 12323259 12327839
12330910 12325032 12322590
12330911 12327408 12329783
12330912 12326289 12325276
12330913 12322068 12326242
12330914 12326493 12328811
12330915 12321139 12327880
12330916 12328857 12322369
12330917 12326406 12325400
12330918 12320615 12327672
12330919 12322589 12327183
12330920 12323058 12325110
12330921 12323562 12321594
12330922 12329445 12326640
12330923 12327317 12325344
12330924 12322785 12321009
12330925 12323699 12329778
12330926 12323064 12327326
12330927 12322375 12327462
12330928 12324803 12324752
12330929 12329335 12327329
12330930 12322115 12328241
12330931 12328181 12321431
12330932 12329926 12323567
12330933 12329665 12328229
12330934 12326490 12328187
12330935 12326158 12327975
12330936 12322023 12327509
12330937 12323806 12327423
12330938 12328193 12323526
12330939 12324126 12326714
12330940 12322622 12322331
12330941 12324570 12324539
12330942 12326469 12320404
12330943 12326334 12324550
12330944 12321559 12329195
12330945 12322734 12329353
12330946 12323262 12327143
12330947 12321226 12329839
12330948 12329832 12320659
12330949 12325618 12323551
12330950 12328959 12322821
12330951 12327730 12325917
12330952 12320600 12327440
12330953 12329402 12327671
12330954 12321170 12323484
12330955 12326312 12322066
12330956 12322974 12329369
12330957 12325543 12321539
12330958 12328931 12328782
12330959 12329549 12326883
12330960 12320866 12321940
12330961 12329001 12321979
12330962 12321241 12326891
12330963 12324511 12324071
12330964 12321411 12327673
12330965 12320996 12323802
12330966 12328308 12326898
12330967 12328938 12326876
12330968 12328561 12328070
12330969 12327281 12323130
12330970 12322225 12321399
12330971 12320236 12329245
12330972 12323563 12329869
12330973 12320588 12322469
12330974 12325071 12326998
12330975 12326659 12328810
12330976 12322907 12328117
12330977 12326966 12325782
12330978 12326413 12327440
12330979 12322100 12323534
12330980 12325675 12321007
12330981 12327838 12329200
12330982 12325731 12320605
12330983 12328031 12322872
12330984 12326481 12321816
12330985 12327508 12320463
12330986 12320327 12325919
12330987 12321873 12325155
12330988 12329323 12320151
12330989 12321249 12320346
12330990 12324253 12327678
12330991 12321789 12326160
12330992 12329557 12323639
12330993 12320141 12329292
12330994 12321339 12323759
12330995 12320304 12328110
12330996 12323947 12326088
12330997 12325222 12325497
12330998 12327116 12322442
12330999 12328319 12322196
12331000 12328354 12326060
12331001 12323913 12329785
12331002 12321518 12329455
12331003 12323397 12324614
12331004 12326152 12328941
12331005 12321374 12321330
12331006 12329391 12326702
12331007 12320567 12329857
12331008 12324070 12328777
12331009 12323884 12325605
12331010 12325830 12321862
12331011 12323719 12320950
12331012 12329838 12321147
12331013 12324127 12327393
12331014 12328439 12320447
12331015 12326061 12324192
12331016 12329563 12328543
12331017 12321818 12328402
12331018 12329527 12325800
12331019 12320383 12327585
12331020 12323152 12327592
12331021 12322678 12326403
12331022 12324777 12323757
12331023 12321969 12323750
12331024 12328211 12327213
12331025 12324232 12323008
12331026 12321240 12323700
12331027 12329679 12320245
12331028 12326470 12323264
12331029 12328285 12323415
12331030 12328819 12324370
12331031 12325096 12328463
12331032 12327381 12328345
12331033 12321896 12321394
12331034 12327030 12323805
12331035 12326293 12323284
12331036 12320487 12323138
12331037 12329397 12326208
12331038 12320686 12327027
12331039 12320085 12329481
12331040 12328308 12327738
12331041 12327446 12325757
12331042 12326974 12323231
12331043 12329394 12321203
12331044 12328440 12324896
12331045 12320845 12323106
12331046 12327817 12324056
12331047 12323791 12323026
12331048 12321503 12322264
12331049 12329147 12323749
12331050 12320428 12322033
12331051 12322556 12324403
12331052 12326556 12322464
12331053 12326489 12327193
12331054 12327525 12325231
12331055 12328443 12322386
12331056 12321340 12323968
12331057 12324493 12324028
12331058 12324687 12320497
12331059 12323755 12324963
12331060 12323601 12321977
12331061 12325344 12325361
12331062 12326868 12325474
12331063 12326720 12323597
12331064 12323411 12320499
12331065 12321724 12324938
12331066 12323702 12320893
12331067 12327459 12327803
12331068 12324727 12323533
12331069 12323271 12329199
12331070 12320962 12328004
12331071 12325677 12329103
12331072 12324342 12321991
12331073 12323377 12325186
12331074 12322631 12322219
12331075 12323498 12326751
12331076 12324718 12329668
12331077 12327232 12324628
12331078 12329111 12320375
12331079 12321740 12323867
12331080 12325728 12323628
12331081 12327086 12327986
12331082 12320050 12327641
12331083 12321550 12328245
12331084 12325004 12325940
12331085 12322769 12326248
12331086 12326188 12323631
12331087 12325173 12326520
12331088 12320561 12320822
12331089 12322956 12323591
12331090 12326257 12327809
12331091 12322227 12324091
12331092 12324490 12328395
12331093 12327048 12323751
12331094 12325286 12321887
12331095 12326838 12323156
12331096 12322987 12326021
12331097 12327729 12326464
12331098 12328735 12328009
12331099 12322028 12321220
12331100 12323483 12324163
12331101 12323843 12329566
