index geno pheno fit children
12320418 1 0.752791 1.03425 1
12320419 1 0.821727 1.03709 1
12320420 0 1.60543 1.08344 0
12320421 0 1.05872 1.0493 2
12320422 2 -0.47147 0.986249 2
12320423 2 2.17657 1.12627 3
12320424 2 1.45028 1.08291 2
12320425 2 1.13193 1.05934 1
12320426 0 0.709198 1.03605 2
12320427 2 1.52383 1.0782 2
12320428 1 1.06337 1.05875 3
12320429 0 -0.94627 0.949185 3
12320430 1 0.29868 1.00871 2
12320431 1 1.89657 1.09349 1
12320432 1 1.99569 1.08324 1
12320433 2 2.14245 1.09426 5
12320434 1 0.464271 1.01573 1
12320435 1 1.81398 1.09429 3
12320436 1 0.777581 1.0345 2
12320437 2 3.0339 1.14981 1
12320438 1 1.44348 1.05693 0
12320439 1 -0.52272 0.971718 1
12320440 1 1.67588 1.114 1
12320441 1 0.922101 1.04329 1
12320442 2 3.10586 1.15494 1
12320443 1 -0.0653019 0.994107 2
12320444 1 1.9106 1.10235 1
12320445 2 1.09483 1.05318 2
12320446 0 1.40222 1.07555 3
12320447 1 0.735777 1.03543 2
12320448 1 1.10581 1.05618 2
12320449 1 -1.58381 0.915572 1
12320450 1 0.00156348 0.998425 3
12320451 0 1.46265 1.05504 0
12320452 2 2.01181 1.08677 0
12320453 1 1.03117 1.06892 3
12320454 1 1.21898 1.0673 0
12320455 1 -0.237122 0.981871 0
12320456 0 0.114968 1.02275 2
12320457 0 0.274922 1.01404 2
12320458 0 -0.755813 0.946091 1
12320459 1 0.00260977 0.972327 1
12320460 1 2.72161 1.13735 3
12320461 0 -0.730697 0.962899 0
12320462 0 0.917423 1.06753 0
12320463 2 1.67176 1.09765 3
12320464 1 0.0684206 0.979433 1
12320465 0 -0.584894 0.975872 2
12320466 1 2.9187 1.14125 3
12320467 1 0.656013 1.03518 1
12320468 1 1.57568 1.10319 2
12320469 1 1.11361 1.05723 3
12320470 2 0.805662 1.04215 5
12320471 2 1.40681 1.05431 2
12320472 2 0.784403 1.03458 4
12320473 1 0.570722 1.02957 3
12320474 1 2.36689 1.11082 1
12320475 2 0.733679 1.02737 2
12320476 1 1.71865 1.08316 4
12320477 1 -1.10751 0.946898 0
12320478 1 0.816234 1.02975 3
12320479 2 2.8748 1.14208 1
12320480 1 0.884471 1.05465 2
12320481 0 -0.940291 0.954858 2
12320482 0 -0.747452 0.967599 2
12320483 0 -0.319718 1.00565 4
12320484 1 1.39503 1.05485 1
12320485 1 -0.83941 0.958538 1
12320486 1 0.392343 1.0131 1
12320487 1 2.17226 1.11156 6
12320488 0 0.744405 1.0339 1
12320489 0 -0.445213 0.97461 2
12320490 1 1.99241 1.10788 3
12320491 1 -0.44612 0.962822 2
12320492 0 -0.948479 0.956365 2
12320493 0 0.260156 1.02713 3
12320494 0 -0.19806 1.0054 1
12320495 1 1.62431 1.05979 2
12320496 0 -0.0717769 0.978731 3
12320497 2 2.72512 1.15173 4
12320498 1 -0.0976353 0.991039 2
12320499 1 2.06085 1.10599 4
12320500 0 -0.55368 0.978647 2
12320501 0 -0.7874 0.991235 2
12320502 1 -0.0894072 0.988387 2
12320503 2 2.36118 1.12738 2
12320504 2 0.385667 1.02494 3
12320505 0 2.01241 1.09094 2
12320506 0 -2.08895 0.89705 3
12320507 1 0.282209 1.02235 2
12320508 0 -1.61874 0.915217 2
12320509 2 3.62435 1.19453 3
12320510 0 0.0841769 1.00873 4
12320511 1 -0.547382 0.987051 3
12320512 0 0.26147 1.02341 0
12320513 0 0.756921 1.03762 5
12320514 0 -1.02617 0.95456 3
12320515 1 1.16106 1.05937 0
12320516 2 2.72029 1.15102 3
12320517 1 3.84156 1.17321 0
12320518 2 1.79238 1.09199 1
12320519 1 1.53036 1.09295 5
12320520 2 1.84458 1.09336 3
12320521 1 2.60524 1.13353 1
12320522 0 0.698625 1.03257 0
12320523 2 2.57597 1.13774 2
12320524 0 1.3571 1.06413 3
12320525 1 2.09384 1.10488 0
12320526 1 -0.205648 0.975334 4
12320527 1 0.703163 1.05161 2
12320528 1 0.166822 1.01353 1
12320529 0 0.621966 1.03542 2
12320530 2 1.5805 1.08552 0
12320531 0 -2.53469 0.864198 1
12320532 1 2.26223 1.10348 4
12320533 0 -0.207561 0.998098 1
12320534 2 2.10689 1.09435 1
12320535 1 0.328075 1.01937 0
12320536 1 1.00943 1.05356 0
12320537 1 1.1132 1.04581 6
12320538 0 -0.19988 0.990633 2
12320539 1 1.37176 1.06005 3
12320540 2 3.916 1.20161 2
12320541 0 -1.68797 0.928963 1
12320542 0 2.08206 1.10041 1
12320543 0 -1.25501 0.949545 3
12320544 0 1.50062 1.0649 4
12320545 1 0.923238 1.04426 6
12320546 1 1.66389 1.0838 1
12320547 2 1.63062 1.09133 2
12320548 2 0.559939 1.03486 0
12320549 1 1.86269 1.11199 2
12320550 0 -0.264316 0.998674 0
12320551 2 1.73397 1.08014 3
12320552 0 0.299942 1.019 1
12320553 1 1.68515 1.07689 1
12320554 1 1.60018 1.08471 3
12320555 2 1.95402 1.09628 1
12320556 2 2.03026 1.09336 2
12320557 1 1.72932 1.10018 4
12320558 1 0.327855 0.999064 2
12320559 1 0.781176 1.04503 2
12320560 0 0.848207 1.03669 1
