index geno pheno fit
 466 0 -0.391432 0.976474 
 467 0 -1.06162 0.959934 
 468 0 -0.231356 0.99347 
 469 1 1.85658 1.09816 
 470 0 -0.103523 0.994767 
 471 0 -0.0393793 0.997842 
 472 0 0.385184 1.02142 
 473 0 1.17652 1.06234 
 474 1 -2.36979 0.85438 
 475 1 2.2892 1.10781 
 476 1 1.33734 1.06267 
 477 1 1.39484 1.06875 
 478 1 0.961923 1.03555 
 479 0 -0.00897608 0.999556 
 480 0 -0.417487 0.97783 
 481 0 0.110288 1.00441 
 482 0 0.0119771 1.00059 
 483 1 0.290576 1.01433 
 484 0 -2.40915 0.850726 
 485 1 2.69847 1.105 
 486 0 -0.943337 0.953234 
 487 1 3.11376 1.13585 
 488 0 -0.416743 0.981322 
 489 0 2.32276 1.12049 
 490 0 0.161343 1.00507 
 491 1 -0.0849692 0.996771 
 492 1 1.84847 1.07905 
 493 1 2.44851 1.13297 
 494 0 -1.32285 0.937948 
 495 1 0.476849 1.02271 
 496 1 -0.785744 0.956311 
 497 1 2.33188 1.09839 
 498 1 0.0923343 1.00407 
 499 1 1.14053 1.0553 
 500 1 -0.384942 0.97936 
 501 1 2.13375 1.10172 
 502 1 1.8495 1.10272 
 503 1 1.18175 1.04543 
 504 1 0.874773 1.06228 
 505 1 -1.10785 0.954491 
 506 1 0.680972 1.01995 
 507 1 -0.192241 0.990219 
 508 0 0.132144 1.00823 
 509 1 -1.83207 0.925041 
 510 0 1.35453 1.06586 
 511 1 -0.127456 0.993922 
 512 1 1.61294 1.05121 
 513 1 0.44959 1.01751 
 514 1 -0.525405 0.972855 
 515 1 -0.877875 0.967811 
 516 1 2.54371 1.13703 
 517 0 0.360867 1.01591 
 518 0 0.82574 1.03832 
 519 0 -0.269821 0.990583 
 520 1 1.02982 1.03965 
 521 1 1.63345 1.0707 
 522 1 -0.144534 0.992148 
 523 0 -0.976474 0.956173 
 524 0 1.70259 1.09155 
 525 0 -1.69963 0.907182 
